,date,rooms_cnt,url,price,price_one_metre,space,floor,floors_of_house,adress,source
83,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2446797271,9900000,92958,106.5,9,15,"мкр. Южный, д. 12",Domofond.ru
84,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2817836479,11300000,105509,107.1,13,17,"Московская область, Котельники, микрорайон Южный, 8",Domofond.ru
85,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2724256337,7356900,107400,68.5,5,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
86,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2690586670,9027040,101200,89.2,23,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
87,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2511627475,8384000,104800,80.0,25,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
88,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2364352351,7809210,93300,83.7,4,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
89,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2511363766,6240840,119100,52.4,3,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
90,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2511014084,7377450,107700,68.5,13,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
91,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2086011517,9242880,99600,92.8,2,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
92,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1974469651,8016240,105200,76.2,14,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
93,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2807128994,5389920,136800,39.4,25,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
94,2020-10-23,0,https://www.domofond.ru/kvartira-na-prodazhu-kotelniki-2735271519,3791700,191500,19.8,10,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
